oid,custid,ordertime
157,823,2018-10-06 00:42:29.006433+00
158,893,2018-10-06 00:42:29.10401+00
159,853,2018-10-06 00:42:53.520424+00
160,400,2018-10-06 00:43:05.623232+00
161,820,2018-10-06 00:43:15.693725+00
162,921,2018-10-06 00:43:37.572072+00
163,823,2018-10-06 00:43:53.301969+00
164,912,2018-10-06 00:44:27.623711+00
165,528,2018-10-06 00:44:35.034185+00
166,162,2018-10-06 00:45:08.604955+00
167,720,2018-10-06 00:45:14.719207+00
168,625,2018-10-06 00:45:57.953224+00
169,671,2018-10-06 00:46:21.387507+00
170,64,2018-10-06 00:46:54.874885+00
171,553,2018-10-06 00:47:26.209458+00
172,539,2018-10-06 00:47:50.404546+00
173,126,2018-10-06 00:47:52.704129+00
174,875,2018-10-06 00:48:10.520111+00
175,573,2018-10-06 00:48:37.979836+00
176,324,2018-10-06 00:48:47.969575+00
177,75,2018-10-06 00:48:51.265604+00
178,505,2018-10-06 00:49:06.702899+00
179,475,2018-10-06 00:49:38.05628+00
180,819,2018-10-06 00:49:54.806447+00
181,595,2018-10-06 00:49:59.658686+00
182,336,2018-10-06 00:50:07.708577+00
183,349,2018-10-06 00:50:23.837327+00
184,475,2018-10-06 00:51:03.906918+00
185,880,2018-10-06 00:51:23.082825+00
186,541,2018-10-06 00:51:35.56303+00
187,238,2018-10-06 00:52:04.070073+00
188,889,2018-10-06 00:52:10.788358+00
189,867,2018-10-06 00:52:25.387905+00
190,720,2018-10-06 00:52:27.90814+00
191,850,2018-10-06 00:53:11.117452+00
192,531,2018-10-06 00:53:12.845343+00
193,88,2018-10-06 00:53:22.827141+00
194,15,2018-10-06 00:53:22.894133+00
195,959,2018-10-06 00:53:27.542549+00
196,526,2018-10-06 00:53:36.182381+00
197,683,2018-10-06 00:53:56.835823+00
198,46,2018-10-06 00:54:01.230648+00
199,228,2018-10-06 00:54:22.439017+00
200,707,2018-10-06 00:54:37.888963+00
201,129,2018-10-06 00:54:49.212691+00
202,746,2018-10-06 00:55:03.83566+00
203,51,2018-10-06 00:55:04.592431+00
204,521,2018-10-06 00:55:52.770055+00
205,652,2018-10-06 00:56:11.888424+00
206,266,2018-10-06 00:56:27.950763+00
207,636,2018-10-06 00:56:34.226373+00
208,484,2018-10-06 00:56:39.843474+00
209,270,2018-10-06 00:57:09.504561+00
210,216,2018-10-06 00:57:19.903302+00
211,260,2018-10-06 00:57:28.423621+00
212,629,2018-10-06 00:57:53.013553+00
213,958,2018-10-06 00:58:05.148642+00
214,379,2018-10-06 00:58:12.047499+00
215,564,2018-10-06 00:58:44.900915+00
216,761,2018-10-06 00:58:52.086249+00
217,178,2018-10-06 00:58:55.257008+00
218,823,2018-10-06 00:58:58.517568+00
219,188,2018-10-06 00:59:14.726446+00
220,489,2018-10-06 00:59:15.835451+00
221,621,2018-10-06 00:59:21.245076+00
222,293,2018-10-06 00:59:55.578158+00
223,148,2018-10-06 01:00:11.021921+00
224,606,2018-10-06 01:00:22.507286+00
225,426,2018-10-06 01:01:01.541402+00
226,846,2018-10-06 01:01:20.246827+00
227,318,2018-10-06 01:01:26.431041+00
228,302,2018-10-06 01:01:35.395194+00
229,100,2018-10-06 01:01:52.544123+00
230,815,2018-10-06 01:02:43.455404+00
231,519,2018-10-06 01:02:46.784003+00
232,938,2018-10-06 01:02:55.497013+00
233,583,2018-10-06 01:03:21.526793+00
234,831,2018-10-06 01:04:06.754205+00
235,160,2018-10-06 01:04:10.039463+00
236,83,2018-10-06 01:04:13.589101+00
237,625,2018-10-06 01:04:23.663673+00
238,972,2018-10-06 01:04:24.5553+00
239,727,2018-10-06 01:04:26.360561+00
240,846,2018-10-06 01:05:11.485005+00
241,410,2018-10-06 01:05:26.575833+00
242,77,2018-10-06 01:05:43.010819+00
243,912,2018-10-06 01:06:08.261735+00
244,614,2018-10-06 01:06:11.674733+00
245,278,2018-10-06 01:06:29.894848+00
246,410,2018-10-06 01:06:52.49349+00
247,587,2018-10-06 01:07:20.714334+00
248,484,2018-10-06 01:07:28.877745+00
249,352,2018-10-06 01:07:33.148595+00
250,546,2018-10-06 01:07:47.076361+00
251,229,2018-10-06 01:08:32.257691+00
252,45,2018-10-06 01:08:50.121744+00
253,990,2018-10-06 01:09:33.239074+00
254,531,2018-10-06 01:09:37.034898+00
255,499,2018-10-06 01:09:42.348576+00
256,89,2018-10-06 01:09:54.762432+00
257,727,2018-10-06 01:10:18.226254+00
258,661,2018-10-06 01:11:03.00228+00
259,328,2018-10-06 01:11:20.254559+00
260,317,2018-10-06 01:11:57.482744+00
261,29,2018-10-06 01:12:05.738448+00
262,57,2018-10-06 01:12:10.887096+00
263,295,2018-10-06 01:12:52.023853+00
264,18,2018-10-06 01:12:59.499719+00
265,881,2018-10-06 01:13:04.887835+00
266,879,2018-10-06 01:13:24.357242+00
267,400,2018-10-06 01:13:31.765542+00
268,110,2018-10-06 01:14:03.916961+00
269,885,2018-10-06 01:14:06.103302+00
270,664,2018-10-06 01:14:23.091292+00
271,467,2018-10-06 01:14:51.719058+00
272,194,2018-10-06 01:15:17.36726+00
273,109,2018-10-06 01:15:48.493321+00
274,266,2018-10-06 01:15:52.885904+00
275,833,2018-10-06 01:15:55.801842+00
276,294,2018-10-06 01:16:20.022497+00
277,253,2018-10-06 01:16:29.343494+00
278,769,2018-10-06 01:16:59.81291+00
279,713,2018-10-06 01:17:29.768944+00
280,620,2018-10-06 01:18:14.410622+00
281,138,2018-10-06 01:18:33.04436+00
282,954,2018-10-06 01:19:33.363669+00
283,729,2018-10-06 01:19:35.478154+00
284,676,2018-10-06 01:19:42.462717+00
285,20,2018-10-06 01:20:29.70696+00
286,655,2018-10-06 01:20:53.826153+00
287,666,2018-10-06 01:21:07.314109+00
288,502,2018-10-06 01:21:07.416266+00
289,863,2018-10-06 01:21:16.726088+00
290,847,2018-10-06 01:21:18.400908+00
291,780,2018-10-06 01:22:18.070505+00
292,672,2018-10-06 01:22:59.800043+00
293,437,2018-10-06 01:23:01.241711+00
294,930,2018-10-06 01:23:18.02185+00
295,663,2018-10-06 01:23:23.331292+00
296,982,2018-10-06 01:23:33.337691+00
297,312,2018-10-06 01:23:33.791443+00
298,802,2018-10-06 01:23:59.270348+00
299,622,2018-10-06 01:23:59.788697+00
300,527,2018-10-06 01:24:17.370475+00
301,303,2018-10-06 01:24:47.281243+00
302,763,2018-10-06 01:25:35.061859+00
303,311,2018-10-06 01:25:39.187321+00
304,646,2018-10-06 01:26:06.582728+00
305,100,2018-10-06 01:26:24.743762+00
306,92,2018-10-06 01:26:32.091362+00
307,865,2018-10-06 01:26:56.019015+00
308,946,2018-10-06 01:27:43.518904+00
309,934,2018-10-06 01:28:26.518186+00
310,823,2018-10-06 01:29:01.734265+00
311,385,2018-10-06 01:29:36.640349+00
312,81,2018-10-06 01:29:56.272158+00
313,418,2018-10-06 01:30:10.691788+00
314,453,2018-10-06 01:30:16.114415+00
315,254,2018-10-06 01:30:35.619901+00
316,755,2018-10-06 01:31:38.624153+00
317,747,2018-10-06 01:31:40.872382+00
318,782,2018-10-06 01:31:46.085358+00
319,25,2018-10-06 01:32:17.908736+00
320,499,2018-10-06 01:32:31.634609+00
321,222,2018-10-06 01:34:01.358737+00
322,879,2018-10-06 01:34:02.991744+00
323,818,2018-10-06 01:34:37.196168+00
324,588,2018-10-06 01:34:52.796359+00
325,580,2018-10-06 01:35:17.04335+00
326,465,2018-10-06 01:35:40.942645+00
327,19,2018-10-06 01:35:43.496473+00
328,541,2018-10-06 01:36:05.327367+00
329,154,2018-10-06 01:36:11.499655+00
330,792,2018-10-06 01:36:55.367857+00
331,980,2018-10-06 01:36:56.500552+00
332,434,2018-10-06 01:37:14.022568+00
333,63,2018-10-06 01:37:53.24388+00
334,454,2018-10-06 01:37:55.779032+00
335,669,2018-10-06 01:38:02.366301+00
336,248,2018-10-06 01:38:08.863626+00
337,1,2018-10-06 01:38:11.4905+00
338,779,2018-10-06 01:38:40.907715+00
339,611,2018-10-06 01:39:04.475103+00
340,67,2018-10-06 01:39:50.93421+00
341,762,2018-10-06 01:39:55.686652+00
342,501,2018-10-06 01:40:58.082426+00
343,911,2018-10-06 01:41:31.10713+00
344,345,2018-10-06 01:41:39.999546+00
345,124,2018-10-06 01:42:34.509125+00
346,415,2018-10-06 01:42:35.651086+00
347,97,2018-10-06 01:42:58.330033+00
348,566,2018-10-06 01:43:07.058103+00
349,614,2018-10-06 01:43:39.618716+00
350,829,2018-10-06 01:43:54.598775+00
351,27,2018-10-06 01:44:03.99311+00
352,307,2018-10-06 01:44:22.711122+00
353,238,2018-10-06 01:44:24.056233+00
354,946,2018-10-06 01:44:48.037323+00
355,79,2018-10-06 01:45:07.597119+00
356,549,2018-10-06 01:45:14.763992+00
357,917,2018-10-06 01:45:19.014092+00
358,728,2018-10-06 01:45:36.065989+00
359,758,2018-10-06 01:46:18.329658+00
360,457,2018-10-06 01:46:34.834846+00
361,395,2018-10-06 01:46:42.979005+00
362,433,2018-10-06 01:46:50.577243+00
363,309,2018-10-06 01:47:32.342283+00
364,466,2018-10-06 01:47:36.76725+00
365,189,2018-10-06 01:48:25.435004+00
366,725,2018-10-06 01:49:03.519788+00
367,9,2018-10-06 01:49:34.605036+00
368,444,2018-10-06 01:50:00.045658+00
369,938,2018-10-06 01:50:22.481658+00
370,847,2018-10-06 01:50:51.001586+00
371,266,2018-10-06 01:50:54.97633+00
372,714,2018-10-06 01:50:58.32551+00
373,956,2018-10-06 01:51:21.598359+00
374,545,2018-10-06 01:51:50.539948+00
375,280,2018-10-06 01:51:54.192969+00
376,856,2018-10-06 01:51:59.398488+00
377,320,2018-10-06 01:52:18.130574+00
378,628,2018-10-06 01:52:47.340039+00
379,241,2018-10-06 01:52:56.164982+00
380,92,2018-10-06 01:53:13.877136+00
381,103,2018-10-06 01:53:18.803859+00
382,94,2018-10-06 01:53:55.20417+00
383,460,2018-10-06 01:54:10.039111+00
384,521,2018-10-06 01:54:15.958545+00
385,467,2018-10-06 01:54:27.454406+00
386,598,2018-10-06 01:54:31.959295+00
387,32,2018-10-06 01:54:32.494524+00
388,786,2018-10-06 01:54:56.13767+00
389,783,2018-10-06 01:55:27.726854+00
390,876,2018-10-06 01:55:34.854507+00
391,599,2018-10-06 01:56:03.694627+00
392,687,2018-10-06 01:56:10.558277+00
393,304,2018-10-06 01:56:12.914342+00
394,657,2018-10-06 01:56:13.189522+00
395,810,2018-10-06 01:56:26.835438+00
396,752,2018-10-06 01:56:49.838443+00
397,225,2018-10-06 01:57:05.047726+00
398,890,2018-10-06 01:57:16.425414+00
399,422,2018-10-06 01:57:22.219677+00
400,81,2018-10-06 01:57:43.480606+00
401,169,2018-10-06 01:57:44.604268+00
402,683,2018-10-06 01:57:50.128306+00
403,754,2018-10-06 01:58:09.509511+00
404,999,2018-10-06 01:58:40.450768+00
405,24,2018-10-06 01:58:55.346196+00
406,987,2018-10-06 01:59:19.714459+00
407,312,2018-10-06 01:59:35.110908+00
408,830,2018-10-06 01:59:35.719267+00
409,793,2018-10-06 02:00:19.948202+00
410,517,2018-10-06 02:00:26.490545+00
411,482,2018-10-06 02:00:51.537285+00
412,662,2018-10-06 02:01:05.378066+00
413,554,2018-10-06 02:01:24.965782+00
414,140,2018-10-06 02:01:28.74851+00
415,578,2018-10-06 02:01:34.274029+00
416,356,2018-10-06 02:02:09.914002+00
417,771,2018-10-06 02:02:13.823681+00
418,394,2018-10-06 02:02:24.877647+00
419,52,2018-10-06 02:02:42.006123+00
420,123,2018-10-06 02:03:12.117389+00
421,170,2018-10-06 02:03:40.486132+00
422,332,2018-10-06 02:03:48.493306+00
423,767,2018-10-06 02:03:52.208703+00
424,777,2018-10-06 02:04:28.821739+00
425,743,2018-10-06 02:04:52.074922+00
426,89,2018-10-06 02:05:00.090891+00
427,5,2018-10-06 02:05:09.004029+00
428,875,2018-10-06 02:05:10.921477+00
429,100,2018-10-06 02:05:33.670307+00
430,242,2018-10-06 02:06:22.518573+00
431,368,2018-10-06 02:07:15.189213+00
432,754,2018-10-06 02:07:24.117348+00
433,262,2018-10-06 02:07:26.14342+00
434,633,2018-10-06 02:07:55.970872+00
435,133,2018-10-06 02:07:57.114821+00
436,985,2018-10-06 02:08:31.753678+00
437,101,2018-10-06 02:08:43.543318+00
438,295,2018-10-06 02:09:09.136821+00
439,206,2018-10-06 02:09:16.472755+00
440,570,2018-10-06 02:09:31.267678+00
441,913,2018-10-06 02:09:34.13689+00
442,698,2018-10-06 02:10:00.72907+00
443,911,2018-10-06 02:10:29.097959+00
444,367,2018-10-06 02:10:49.247409+00
445,34,2018-10-06 02:11:10.644704+00
446,795,2018-10-06 02:11:46.08039+00
447,174,2018-10-06 02:12:16.959463+00
448,538,2018-10-06 02:12:24.323047+00
449,67,2018-10-06 02:12:39.48421+00
450,861,2018-10-06 02:13:12.502864+00
451,242,2018-10-06 02:13:48.274103+00
452,863,2018-10-06 02:14:15.303396+00
453,322,2018-10-06 02:14:25.722412+00
454,230,2018-10-06 02:14:32.86504+00
455,8,2018-10-06 02:14:53.544358+00
456,957,2018-10-06 02:15:01.879368+00
457,325,2018-10-06 02:15:03.28229+00
458,836,2018-10-06 02:15:26.20612+00
459,246,2018-10-06 02:15:29.773121+00
460,740,2018-10-06 02:16:00.931842+00
461,941,2018-10-06 02:16:13.692118+00
462,534,2018-10-06 02:16:22.100861+00
463,554,2018-10-06 02:16:26.011947+00
464,962,2018-10-06 02:16:52.740107+00
465,132,2018-10-06 02:17:06.687002+00
466,509,2018-10-06 02:17:09.378668+00
467,611,2018-10-06 02:17:37.636975+00
468,674,2018-10-06 02:17:41.852668+00
469,604,2018-10-06 02:18:25.230886+00
470,380,2018-10-06 02:18:33.52125+00
471,823,2018-10-06 02:18:56.583722+00
472,591,2018-10-06 02:19:25.318743+00
473,961,2018-10-06 02:19:35.215938+00
474,588,2018-10-06 02:19:43.459933+00
475,475,2018-10-06 02:19:45.716528+00
476,795,2018-10-06 02:19:57.535165+00
477,123,2018-10-06 02:20:05.288763+00
478,570,2018-10-06 02:20:25.618049+00
479,506,2018-10-06 02:21:05.625051+00
480,165,2018-10-06 02:21:15.976422+00
481,956,2018-10-06 02:21:23.555526+00
482,457,2018-10-06 02:21:48.906842+00
483,482,2018-10-06 02:21:57.935509+00
484,720,2018-10-06 02:22:16.008751+00
485,540,2018-10-06 02:22:27.427267+00
486,337,2018-10-06 02:22:46.771425+00
487,724,2018-10-06 02:22:56.453999+00
488,36,2018-10-06 02:23:29.266288+00
489,237,2018-10-06 02:23:34.48936+00
490,912,2018-10-06 02:23:42.848812+00
491,462,2018-10-06 02:23:44.37213+00
492,792,2018-10-06 02:24:47.434568+00
493,284,2018-10-06 02:24:50.277446+00
494,700,2018-10-06 02:24:58.081308+00
495,662,2018-10-06 02:25:37.418046+00
496,245,2018-10-06 02:26:00.594156+00
497,156,2018-10-06 02:26:20.878591+00
498,881,2018-10-06 02:26:26.129689+00
499,79,2018-10-06 02:26:57.925959+00
500,478,2018-10-06 02:27:05.783802+00
501,810,2018-10-06 02:27:13.369268+00
502,746,2018-10-06 02:27:22.419272+00
503,577,2018-10-06 02:27:30.94878+00
504,595,2018-10-06 02:27:45.562567+00
505,512,2018-10-06 02:27:57.4698+00
506,677,2018-10-06 02:28:35.812703+00
507,232,2018-10-06 02:28:48.584192+00
508,819,2018-10-06 02:29:14.833521+00
509,699,2018-10-06 02:29:44.293889+00
510,633,2018-10-06 02:29:55.619542+00
511,780,2018-10-06 02:30:03.438616+00
512,308,2018-10-06 02:30:07.659765+00
513,539,2018-10-06 02:30:08.596918+00
514,178,2018-10-06 02:30:46.077123+00
515,306,2018-10-06 02:31:09.785842+00
516,821,2018-10-06 02:31:17.663675+00
517,154,2018-10-06 02:31:22.144946+00
518,982,2018-10-06 02:31:35.456429+00
519,406,2018-10-06 02:32:00.323698+00
520,573,2018-10-06 02:32:23.890914+00
521,414,2018-10-06 02:32:27.626001+00
522,9,2018-10-06 02:33:06.050822+00
523,956,2018-10-06 02:33:10.106848+00
524,539,2018-10-06 02:33:32.180465+00
525,848,2018-10-06 02:34:43.198557+00
526,378,2018-10-06 02:35:41.089888+00
527,996,2018-10-06 02:36:00.058671+00
528,678,2018-10-06 02:36:56.722642+00
529,706,2018-10-06 02:37:02.027459+00
530,415,2018-10-06 02:37:05.788815+00
531,410,2018-10-06 02:37:22.600463+00
532,958,2018-10-06 02:37:36.446687+00
533,575,2018-10-06 02:38:26.322027+00
534,873,2018-10-06 02:38:27.221408+00
535,621,2018-10-06 02:38:29.028642+00
536,600,2018-10-06 02:38:40.724098+00
537,825,2018-10-06 02:38:49.836497+00
538,490,2018-10-06 02:39:06.398742+00
539,734,2018-10-06 02:39:26.959677+00
540,549,2018-10-06 02:39:54.957946+00
541,785,2018-10-06 02:40:11.708873+00
542,641,2018-10-06 02:40:51.618344+00
543,297,2018-10-06 02:41:22.179863+00
544,984,2018-10-06 02:41:23.726204+00
545,498,2018-10-06 02:41:26.902575+00
546,932,2018-10-06 02:41:26.930866+00
547,915,2018-10-06 02:41:49.394369+00
548,348,2018-10-06 02:42:02.507173+00
549,623,2018-10-06 02:42:27.000335+00
550,918,2018-10-06 02:42:51.506458+00
551,703,2018-10-06 02:42:52.791425+00
552,823,2018-10-06 02:43:27.281766+00
553,947,2018-10-06 02:44:14.264638+00
554,243,2018-10-06 02:44:28.88432+00
555,923,2018-10-06 02:44:40.250794+00
556,457,2018-10-06 02:45:24.402728+00
557,217,2018-10-06 02:45:35.413934+00
558,213,2018-10-06 02:45:42.355255+00
559,933,2018-10-06 02:45:44.850283+00
560,443,2018-10-06 02:46:35.311471+00
561,418,2018-10-06 02:46:40.993548+00
562,963,2018-10-06 02:46:55.618677+00
563,569,2018-10-06 02:47:06.550415+00
564,774,2018-10-06 02:47:31.640343+00
565,248,2018-10-06 02:47:34.761255+00
566,282,2018-10-06 02:47:47.170127+00
567,583,2018-10-06 02:47:49.222914+00
568,971,2018-10-06 02:48:53.588524+00
569,789,2018-10-06 02:48:59.840739+00
570,121,2018-10-06 02:49:29.067753+00
571,744,2018-10-06 02:49:58.702085+00
572,415,2018-10-06 02:50:27.218367+00
573,304,2018-10-06 02:51:02.034403+00
574,217,2018-10-06 02:51:09.691566+00
575,913,2018-10-06 02:51:11.407893+00
576,798,2018-10-06 02:51:28.442953+00
577,185,2018-10-06 02:51:40.840675+00
578,765,2018-10-06 02:52:19.489628+00
579,64,2018-10-06 02:52:20.960673+00
580,327,2018-10-06 02:52:43.954476+00
581,696,2018-10-06 02:52:59.875682+00
582,874,2018-10-06 02:53:08.251184+00
583,233,2018-10-06 02:54:24.771061+00
584,893,2018-10-06 02:54:37.129849+00
585,225,2018-10-06 02:55:39.081095+00
586,145,2018-10-06 02:55:54.075941+00
587,257,2018-10-06 02:55:55.480385+00
588,881,2018-10-06 02:56:38.006441+00
589,448,2018-10-06 02:56:52.458607+00
590,32,2018-10-06 02:57:29.82539+00
591,524,2018-10-06 02:57:34.060778+00
592,91,2018-10-06 02:58:10.968384+00
593,202,2018-10-06 02:58:13.399831+00
594,420,2018-10-06 02:58:16.099709+00
595,498,2018-10-06 02:58:30.058247+00
596,863,2018-10-06 02:58:32.989565+00
597,263,2018-10-06 02:59:37.46989+00
598,327,2018-10-06 02:59:40.593045+00
599,858,2018-10-06 03:00:06.310993+00
600,991,2018-10-06 03:00:13.416074+00
601,620,2018-10-06 03:00:24.432194+00
602,332,2018-10-06 03:00:25.290801+00
603,396,2018-10-06 03:00:39.981358+00
604,527,2018-10-06 03:00:51.274564+00
605,975,2018-10-06 03:00:56.010101+00
606,824,2018-10-06 03:01:02.252545+00
607,308,2018-10-06 03:01:05.734733+00
608,677,2018-10-06 03:01:07.26951+00
609,374,2018-10-06 03:01:42.522999+00
610,865,2018-10-06 03:01:52.780635+00
611,337,2018-10-06 03:02:11.814278+00
612,354,2018-10-06 03:02:15.72823+00
613,436,2018-10-06 03:02:29.714335+00
614,618,2018-10-06 03:02:59.220593+00
615,907,2018-10-06 03:03:05.016913+00
616,451,2018-10-06 03:03:30.802033+00
617,5,2018-10-06 03:03:37.431588+00
618,809,2018-10-06 03:03:45.888067+00
619,659,2018-10-06 03:04:12.988441+00
620,96,2018-10-06 03:04:26.482726+00
621,175,2018-10-06 03:04:26.860788+00
622,927,2018-10-06 03:04:30.896396+00
623,137,2018-10-06 03:05:29.028903+00
624,224,2018-10-06 03:05:37.250384+00
625,353,2018-10-06 03:05:47.493508+00
626,70,2018-10-06 03:06:07.642676+00
627,196,2018-10-06 03:06:08.615697+00
628,183,2018-10-06 03:06:25.459702+00
629,10,2018-10-06 03:06:38.447405+00
630,257,2018-10-06 03:06:58.512084+00
631,213,2018-10-06 03:07:08.781176+00
632,195,2018-10-06 03:07:20.228252+00
633,488,2018-10-06 03:07:54.641481+00
634,996,2018-10-06 03:08:08.648616+00
635,608,2018-10-06 03:08:19.522356+00
