lid,oid,pid,quantity
366,234,217,1
367,234,308,1
368,235,669,3
369,235,422,1
370,235,15,1
371,236,321,1
372,236,363,1
373,236,691,1
374,236,225,2
375,237,655,1
376,238,398,1
377,239,661,1
378,240,677,1
379,241,107,1
380,242,622,1
381,243,236,1
382,243,243,3
383,243,732,1
384,244,330,1
385,245,320,1
386,245,636,1
387,246,47,1
388,247,225,2
389,248,91,1
390,248,787,1
391,249,137,1
392,250,34,2
393,251,255,1
394,252,795,3
395,253,241,1
396,253,66,1
397,254,227,1
398,254,439,1
399,254,207,3
400,255,52,1
401,256,224,1
402,256,146,1
403,256,51,1
404,257,319,1
405,258,140,1
406,259,51,1
407,259,11,2
408,260,122,2
409,261,393,1
410,261,211,1
411,262,764,1
412,263,42,1
413,264,553,4
414,264,330,13
415,265,212,1
416,266,238,1
417,267,786,1
418,267,566,1
419,268,760,1
420,269,388,1
421,269,566,1
422,270,512,2
423,271,472,1
424,272,641,1
425,272,759,1
426,273,81,1
427,273,635,1
428,273,97,2
429,274,153,1
430,274,139,2
431,275,589,1
432,276,784,1
433,276,740,1
434,276,207,2
435,277,725,2
436,277,454,1
437,278,532,1
438,279,727,1
439,280,386,1
440,281,211,3
441,282,649,1
442,282,41,1
443,283,715,1
444,283,591,3
445,284,432,1
446,284,423,2
447,285,592,2
448,286,737,1
449,286,75,2
450,286,355,2
451,286,654,1
452,287,467,1
453,288,428,5
454,289,304,1
455,289,33,1
456,290,196,1
457,290,357,1
458,291,136,1
459,291,432,1
460,291,555,1
461,292,429,1
462,293,129,1
463,293,34,6
464,294,300,1
465,295,178,1
466,295,171,3
467,295,250,1
468,296,436,2
469,297,663,1
470,297,628,2
471,297,189,1
472,297,31,1
473,298,84,2
474,299,17,1
475,300,725,1
476,301,570,8
477,302,122,3
478,302,132,1
479,302,525,2
480,303,543,1
481,303,51,1
482,303,703,1
483,304,703,1
484,305,316,1
485,306,439,1
486,307,392,1
487,308,78,1
488,308,103,2
489,309,493,1
490,310,496,1
491,310,392,1
492,310,763,1
493,310,405,2
494,310,62,1
495,311,312,5
496,312,644,1
497,312,53,1
498,313,656,1
499,314,698,2
500,314,775,2
501,315,27,1
502,315,772,1
503,315,393,1
504,315,172,1
505,315,405,1
506,315,537,1
507,315,187,1
508,316,7,2
509,317,684,1
510,318,587,1
511,318,581,1
512,318,229,2
513,319,499,1
514,320,151,1
515,321,91,1
516,321,598,1
517,322,718,1
518,322,534,1
519,323,747,1
520,323,726,1
521,324,664,1
522,324,378,1
523,324,780,5
524,324,498,1
525,324,310,2
526,325,452,1
527,325,77,1
528,326,130,1
529,326,741,2
530,326,230,1
531,326,424,1
532,326,366,1
533,326,433,1
534,326,19,5
535,327,609,1
536,328,784,1
537,328,266,1
538,329,18,1
539,329,323,1
540,329,660,1
541,330,71,1
542,331,14,2
543,332,487,1
544,333,624,2
545,333,254,1
546,334,624,1
547,334,133,1
548,335,432,1
549,335,626,1
550,335,170,1
551,336,240,1
552,337,4,5
553,338,29,3
554,339,499,1
555,339,235,2
556,340,458,2
557,341,128,2
558,341,698,2
559,342,22,1
560,343,466,1
561,343,342,1
562,344,570,1
563,344,716,1
564,344,98,1
565,345,238,1
566,346,4,2
567,347,385,3
568,347,626,1
569,348,690,1
570,348,630,1
571,348,350,2
572,348,679,2
573,349,438,1
574,349,503,1
575,350,227,1
576,351,337,1
577,351,749,2
578,351,327,1
579,352,603,3
580,353,530,2
581,354,746,1
582,355,104,1
583,356,182,1
584,357,13,1
585,358,356,1
586,358,453,1
587,358,551,1
588,359,634,4
589,360,746,1
590,360,724,6
591,361,384,1
592,361,652,1
593,362,595,1
594,363,332,1
595,364,426,1
596,364,775,1
597,365,245,1
598,366,11,1
599,366,678,1
600,367,278,1
601,368,471,1
602,369,360,1
603,369,722,7
604,369,229,1
605,369,678,1
606,369,439,1
607,370,555,3
608,371,121,3
609,371,738,1
610,371,74,3
611,371,669,1
612,371,429,3
613,372,348,2
614,372,237,1
615,373,332,1
616,374,4,2
617,375,320,1
618,376,523,1
619,376,399,2
620,377,181,2
621,377,478,1
622,378,436,1
623,379,658,1
624,380,540,1
625,381,344,4
626,382,548,2
627,382,229,1
628,383,688,3
629,383,723,1
630,383,317,1
631,384,621,1
632,385,307,1
633,385,86,1
634,386,753,1
635,387,29,2
636,388,167,2
637,389,510,1
638,390,679,2
639,391,218,2
640,391,751,1
641,392,588,2
642,393,162,1
643,393,50,2
644,394,468,1
645,395,423,1
646,396,268,1
647,397,332,1
648,398,656,4
649,399,43,1
650,399,53,1
651,400,640,1
652,401,308,1
653,402,608,1
654,403,768,1
655,404,539,1
656,404,311,1
657,405,232,1
658,405,30,2
659,406,136,1
660,407,760,1
661,407,377,2
662,407,77,2
663,408,646,1
664,408,487,1
665,409,200,1
666,409,100,1
667,410,33,2
668,411,437,1
669,411,243,2
670,411,341,1
671,411,509,3
672,412,785,1
673,413,644,1
674,414,532,1
675,415,40,1
676,415,130,2
677,415,227,2
678,415,44,2
679,416,461,2
680,417,607,2
681,418,300,1
682,419,689,1
683,420,215,1
684,421,347,1
685,421,701,1
686,421,478,2
687,421,159,1
688,422,605,1
689,423,536,1
690,423,685,2
691,424,354,1
692,424,174,1
693,425,49,1
694,426,48,1
695,427,376,1
696,427,258,2
697,428,234,2
698,429,747,1
699,430,323,1
700,431,702,1
701,432,337,1
702,432,466,1
703,432,306,1
704,432,765,1
705,433,217,1
706,434,587,1
707,434,67,1
708,434,477,1
709,435,366,1
710,436,177,1
711,437,644,2
712,437,367,1
713,438,41,1
714,438,471,1
715,439,687,1
716,440,621,1
717,441,317,1
718,442,485,3
719,443,55,2
720,444,89,2
721,444,739,1
722,444,28,6
723,444,134,5
724,444,343,3
725,445,656,2
726,446,429,1
727,447,216,1
728,447,717,2
729,447,78,1
730,448,376,1
731,448,199,5
732,449,139,1
733,449,166,1
734,450,457,3
735,450,722,1
736,450,12,1
737,450,613,1
738,451,114,1
739,452,649,1
740,452,290,3
741,453,40,2
742,453,209,2
743,454,720,1
744,454,60,1
745,455,38,1
746,455,39,1
747,456,493,3
748,457,78,1
749,457,654,1
750,458,591,1
751,459,563,1
752,460,600,1
753,460,626,1
754,461,112,1
755,462,751,1
756,463,737,3
757,464,117,2
758,465,333,6
759,466,48,3
760,466,206,3
761,466,150,1
762,467,705,2
763,467,156,1
764,468,713,1
765,469,704,1
766,469,68,1
767,470,474,1
768,470,202,1
769,471,628,1
770,472,512,3
771,472,625,1
772,473,437,1
773,474,257,4
774,475,503,1
775,475,543,1
776,476,645,1
777,477,672,2
778,477,559,1
779,478,659,1
780,479,210,1
781,480,23,2
782,481,214,1
783,481,167,1
784,482,142,2
785,483,3,1
786,484,154,1
787,484,87,1
788,485,626,1
789,486,530,1
790,487,67,1
791,488,231,1
792,489,458,1
793,489,180,3
794,490,159,1
795,491,176,2
796,491,344,1
797,492,90,1
798,493,634,1
799,494,726,1
800,495,283,2
801,495,117,1
802,496,106,6
803,497,560,3
804,497,487,1
805,498,659,1
806,498,599,1
807,499,781,2
808,500,303,4
809,501,176,1
810,502,80,1
811,502,566,1
812,503,373,1
813,504,45,1
814,505,368,1
815,505,743,1
816,506,39,1
817,506,23,1
818,507,746,1
819,508,399,1
820,508,615,1
821,509,34,1
822,510,596,1
823,511,387,4
824,512,417,1
825,513,320,1
826,513,369,1
827,513,782,1
828,513,726,1
829,514,525,1
830,515,644,3
831,516,641,1
832,516,551,1
833,516,136,1
834,516,458,1
835,516,76,1
836,516,272,2
837,516,440,1
838,517,654,3
839,518,315,1
840,519,727,1
841,520,294,1
842,521,611,2
843,522,474,1
844,523,338,2
845,523,695,1
846,524,165,1
847,524,742,1
848,525,613,3
849,526,489,1
850,526,419,1
851,526,268,1
852,526,285,1
853,527,272,2
854,527,236,1
855,527,332,1
856,527,710,1
857,527,119,1
858,528,173,1
859,528,334,1
860,529,91,1
861,529,29,1
862,530,232,3
863,530,185,1
864,530,502,1
865,531,82,1
866,532,2,3
867,532,517,2
868,532,680,1
869,532,364,2
870,532,12,1
871,532,557,2
872,532,271,1
873,532,348,1
874,532,796,1
875,532,93,1
876,532,702,1
877,533,576,3
878,534,376,1
879,535,632,1
880,536,486,1
881,537,518,1
882,538,755,1
883,539,569,1
884,540,792,3
885,541,470,2
886,542,42,1
887,543,384,1
888,543,371,1
889,543,269,2
890,543,479,1
891,543,247,1
892,544,493,1
893,545,348,1
894,546,328,4
895,546,771,1
896,546,303,1
897,547,546,1
898,548,691,1
899,549,702,1
900,550,739,1
901,550,251,1
902,551,417,1
903,551,279,1
904,552,585,1
905,553,705,1
906,553,487,1
907,554,197,1
908,554,646,1
909,554,685,1
910,555,512,2
911,556,255,1
912,557,83,2
913,557,540,3
914,557,37,1
915,558,247,1
916,559,377,1
917,559,35,1
918,559,277,1
919,560,416,3
920,561,504,1
921,561,338,1
922,561,613,5
923,562,509,1
924,562,421,1
925,563,128,1
926,564,712,3
927,565,400,1
928,565,702,1
929,566,87,1
930,567,337,2
931,568,266,1
932,569,734,2
933,570,258,1
934,571,686,1
935,571,327,2
936,572,421,1
937,572,718,1
938,572,175,4
939,573,586,2
940,573,787,1
941,574,528,1
942,575,288,1
943,576,436,1
944,577,683,1
945,578,459,1
946,579,749,1
947,580,335,2
948,581,208,3
949,581,298,3
950,581,610,1
951,581,278,1
952,581,430,3
953,582,707,9
954,583,178,1
955,583,306,2
956,583,231,6
957,584,77,1
958,584,117,1
959,585,696,1
960,585,163,2
961,586,187,1
962,586,340,1
963,586,142,1
964,586,391,1
965,587,721,4
966,587,27,1
967,587,113,1
968,588,346,1
969,589,608,3
970,589,37,1
971,590,560,1
972,590,401,3
973,590,184,1
974,590,444,2
975,590,635,1
976,591,416,1
977,591,616,1
978,592,87,1
979,593,12,2
980,594,122,1
981,594,606,3
982,595,181,1
983,595,111,1
984,596,443,3
985,597,135,3
986,598,345,5
987,598,588,1
988,599,394,1
989,600,491,1
990,600,374,1
991,600,703,1
992,601,336,2
993,601,694,1
994,602,531,1
995,602,766,11
996,603,55,1
997,604,232,1
998,604,503,2
999,605,284,1
1000,606,100,1
1001,607,545,1
1002,607,644,2
1003,608,68,1
1004,609,611,1
1005,610,48,1
1006,610,793,1
1007,611,638,1
1008,612,107,1
1009,613,741,1
1010,614,63,3
1011,615,200,1
1012,615,208,1
1013,616,734,1
1014,617,8,1
1015,617,729,2
1016,617,458,1
1017,617,77,1
1018,617,357,5
1019,618,547,1
1020,618,484,3
1021,619,429,1
1022,619,373,1
1023,620,214,2
1024,621,674,4
1025,622,362,1
1026,622,652,2
1027,623,600,1
1028,623,75,1
1029,623,523,1
1030,623,460,1
1031,624,619,1
1032,624,579,1
1033,624,219,1
1034,625,152,2
1035,625,319,1
1036,626,501,1
1037,627,726,2
1038,628,751,2
1039,629,295,1
1040,630,697,1
1041,631,348,4
1042,632,88,1
1043,633,763,1
1044,633,359,1
1045,634,265,1
1046,635,601,1
1047,636,771,1
1048,637,664,1
1049,637,363,1
1050,637,76,1
1051,638,762,1
1052,638,171,1
1053,638,370,1
1054,639,472,1
1055,639,673,2
1056,639,84,1
1057,640,698,3
1058,641,793,1
1059,641,212,2
1060,641,508,1
1061,642,250,1
1062,643,81,1
1063,643,386,1
1064,643,225,1
1065,644,392,2
1066,645,517,1
1067,645,239,1
1068,646,739,5
1069,647,398,1
1070,648,736,1
1071,649,114,3
1072,650,4,1
1073,650,284,1
1074,651,104,2
1075,651,442,1
1076,651,149,1
1077,651,759,1
1078,652,196,1
1079,652,197,1
1080,653,161,6
1081,654,592,1
1082,655,266,1
1083,656,503,2
1084,657,4,1
1085,658,656,2
1086,658,480,2
1087,658,250,1
1088,658,759,1
1089,659,380,1
1090,659,476,1
1091,660,596,1
1092,661,2,1
1093,662,423,1
1094,663,161,2
1095,663,381,2
1096,663,750,4
1097,663,589,3
1098,664,752,3
1099,665,399,3
1100,665,247,2
1101,666,145,1
1102,666,453,1
1103,667,211,2
1104,667,732,1
1105,668,314,1
1106,669,432,1
1107,669,141,2
1108,670,315,1
1109,671,355,1
1110,672,214,2
1111,672,647,1
1112,673,8,1
1113,674,155,2
1114,675,328,1
1115,676,603,1
1116,676,503,1
1117,677,260,1
1118,678,48,6
1119,679,195,1
1120,680,490,3
1121,681,523,1
1122,682,322,1
1123,682,662,2
1124,682,591,2
1125,683,257,5
1126,684,724,1
1127,685,323,1
1128,685,606,2
1129,685,614,1
1130,685,79,2
1131,686,373,3
1132,687,670,2
1133,688,123,1
1134,689,746,2
1135,690,677,1
1136,691,692,1
1137,692,419,3
1138,693,411,1
1139,694,253,1
1140,695,312,1
1141,695,27,1
1142,695,558,1
1143,696,294,7
1144,697,369,1
1145,697,15,1
1146,698,442,1
1147,699,381,1
1148,700,70,2
1149,701,656,1
1150,701,267,3
1151,702,499,1
1152,703,258,1
1153,703,764,1
1154,703,405,1
1155,704,15,3
1156,705,13,1
1157,706,420,2
1158,707,59,1
1159,707,139,1
1160,707,734,1
1161,708,128,1
1162,708,651,1
1163,709,422,3
1164,710,675,1
1165,711,495,1
1166,712,147,1
1167,712,149,1
1168,712,670,1
1169,713,641,1
1170,714,475,5
1171,715,477,3
1172,716,768,1
1173,717,164,4
1174,718,507,1
1175,718,391,1
1176,719,109,1
1177,719,311,1
1178,720,24,2
1179,721,198,1
1180,722,462,2
1181,723,187,2
1182,724,648,1
1183,724,53,1
1184,724,414,1
1185,725,564,2
1186,726,720,1
1187,727,112,2
1188,727,347,1
1189,728,29,1
1190,729,728,1
1191,729,300,1
1192,729,23,1
1193,730,789,8
1194,730,86,1
1195,730,317,1
1196,731,534,1
1197,732,345,1
1198,732,177,2
1199,733,259,1
1200,734,549,1
1201,735,240,1
1202,736,115,1
1203,736,270,2
1204,737,173,1
1205,738,220,2
1206,738,566,1
1207,739,96,1
1208,739,188,1
1209,740,115,1
1210,741,65,1
1211,742,37,1
1212,743,760,2
1213,743,386,1
1214,743,259,1
1215,743,372,2
1216,744,369,2
1217,745,75,2
1218,746,20,1
1219,747,728,1
1220,747,658,2
1221,747,340,2
1222,747,438,2
1223,748,704,2
1224,748,434,2
1225,749,40,1
1226,750,416,1
1227,750,609,2
1228,750,418,1
1229,750,326,2
1230,750,77,1
1231,750,175,2
1232,750,344,1
1233,750,126,1
1234,751,770,1
1235,752,24,1
1236,752,637,1
1237,753,459,1
1238,753,719,1
1239,754,628,1
1240,755,458,1
1241,756,682,1
1242,757,315,2
1243,758,362,1
1244,758,381,3
1245,759,332,1
1246,760,765,1
1247,760,327,1
1248,761,505,1
1249,761,785,1
1250,762,420,1
1251,763,408,1
1252,763,158,2
1253,763,558,1
1254,764,302,1
1255,764,647,2
1256,765,641,1
1257,765,113,1
1258,766,548,1
1259,766,492,1
1260,766,245,1
1261,767,633,1
1262,767,532,1
1263,768,720,1
1264,769,752,1
1265,769,650,1
1266,770,176,1
1267,770,356,1
1268,770,28,1
1269,771,688,2
1270,771,553,2
1271,771,74,1
1272,771,99,1
1273,771,86,1
1274,772,675,1
1275,772,84,3
1276,773,296,3
1277,773,777,1
1278,773,447,2
1279,774,56,2
1280,775,768,1
1281,776,648,2
1282,776,156,2
1283,777,414,1
1284,778,365,1
1285,779,28,1
1286,779,788,1
1287,780,691,2
1288,781,536,1
1289,781,185,1
1290,781,482,4
1291,781,657,1
1292,782,210,2
1293,783,571,1
1294,784,539,1
1295,785,787,2
1296,786,433,4
1297,787,43,2
1298,787,694,1
1299,787,310,1
1300,788,567,2
1301,789,40,1
1302,790,305,1
1303,790,499,1
1304,790,61,1
1305,791,620,1
1306,792,548,6
1307,792,388,1
1308,793,506,1
1309,794,289,3
1310,794,683,1
1311,794,781,2
1312,795,269,1
1313,796,68,1
1314,797,600,1
1315,797,288,1
1316,798,682,5
1317,799,676,1
1318,799,261,1
1319,799,605,3
1320,800,49,1
1321,800,700,3
1322,801,58,1
1323,802,572,1
1324,802,563,1
1325,802,140,4
1326,802,286,1
1327,802,17,1
1328,803,225,1
1329,804,216,4
1330,804,482,3
1331,804,298,1
1332,804,101,1
1333,804,359,1
1334,805,59,1
1335,806,473,1
1336,806,666,1
1337,806,117,1
1338,807,317,3
1339,808,529,1
1340,809,123,1
1341,809,35,1
1342,809,765,2
1343,810,729,1
1344,810,623,1
1345,811,475,5
1346,811,20,1
1347,811,757,1
1348,812,254,2
1349,813,746,1
1350,814,562,2
1351,815,569,2
1352,816,202,1
1353,817,76,4
1354,818,184,1
1355,819,274,1
1356,819,643,2
1357,819,354,1
1358,820,287,3
1359,821,307,1
1360,821,467,1
1361,821,628,3
1362,822,92,1
1363,823,421,1
1364,824,712,2
1365,825,309,1
1366,826,233,4
1367,826,58,1
1368,826,675,1
1369,827,447,2
1370,828,648,1
1371,828,572,1
1372,829,91,1
1373,829,29,1
1374,830,178,1
1375,831,232,2
1376,831,712,1
1377,831,622,2
1378,832,503,1
1379,833,441,1
1380,833,356,1
1381,834,674,1
1382,834,550,1
1383,834,78,1
1384,834,786,2
1385,834,698,1
1386,834,605,2
1387,835,748,1
1388,835,333,1
1389,836,736,2
1390,836,385,1
1391,836,58,1
1392,836,172,1
1393,836,15,1
1394,837,253,1
1395,838,693,1
1396,839,144,3
1397,840,384,2
1398,840,666,1
1399,840,390,3
1400,841,299,1
1401,842,242,1
1402,843,244,1
1403,843,415,1
1404,844,353,2
1405,844,625,1
1406,845,656,1
1407,846,234,1
1408,847,494,1
1409,848,724,1
1410,849,193,1
1411,849,403,1
1412,849,398,1
1413,850,314,1
1414,851,634,2
1415,852,123,1
1416,853,131,2
1417,854,480,1
1418,854,449,1
1419,854,67,1
1420,855,740,1
1421,855,558,1
1422,855,431,1
1423,856,712,4
1424,856,83,1
1425,856,300,3
1426,856,742,9
1427,857,569,5
1428,857,2,1
1429,857,450,1
1430,858,760,1
1431,858,177,2
1432,858,156,1
1433,858,167,1
1434,859,532,1
1435,860,88,1
1436,861,113,1
1437,861,266,1
1438,862,417,1
1439,863,787,1
1440,864,184,1
1441,865,88,1
1442,866,495,1
1443,867,784,2
1444,867,94,2
1445,868,685,2
1446,869,221,1
1447,870,641,6
1448,871,214,2
1449,871,399,1
1450,872,531,2
1451,872,84,1
1452,872,534,1
1453,873,52,1
1454,873,78,3
1455,874,714,1
1456,874,300,2
1457,875,152,1
1458,875,219,1
1459,876,553,6
1460,877,553,1
1461,878,320,1
1462,879,69,3
1463,879,61,1
1464,880,342,1
1465,881,699,5
1466,881,743,1
1467,882,56,1
1468,883,365,1
1469,884,736,1
1470,884,561,1
1471,884,447,1
1472,884,767,1
1473,885,64,1
1474,885,449,1
1475,885,102,2
1476,886,272,1
1477,886,46,5
1478,887,49,1
1479,887,437,1
1480,887,561,7
1481,888,192,1
1482,889,143,1
1483,890,166,3
1484,891,517,1
1485,892,370,4
1486,893,274,2
1487,894,594,2
1488,895,582,1
1489,896,733,1
1490,897,515,1
1491,898,116,2
1492,899,94,2
1493,900,453,1
1494,901,323,1
1495,902,283,1
1496,902,599,1
1497,903,573,1
1498,904,325,1
1499,905,379,2
1500,906,50,1
1501,907,619,1
1502,908,36,1
1503,908,574,1
1504,908,278,1
1505,909,578,1
1506,910,551,1
1507,911,704,1
1508,912,785,1
1509,913,625,1
1510,914,791,2
1511,915,617,3
1512,916,658,3
1513,917,667,1
1514,917,742,5
1515,917,279,3
1516,918,120,4
1517,918,702,1
1518,919,355,1
1519,919,380,6
1520,919,334,5
1521,920,197,2
1522,921,618,1
1523,921,692,1
1524,921,527,4
1525,922,603,1
1526,923,248,3
1527,923,714,2
1528,923,629,5
1529,923,453,1
1530,924,255,2
1531,925,400,1
1532,925,592,2
1533,925,534,1
1534,926,362,1
1535,926,155,1
1536,926,719,1
1537,927,147,1
1538,928,146,1
1539,928,190,1
1540,929,203,1
1541,929,262,1
1542,930,12,1
1543,930,182,1
1544,931,289,1
1545,932,227,1
1546,932,436,1
1547,932,46,2
1548,933,427,2
1549,933,639,2
1550,934,305,1
1551,934,597,3
1552,935,747,1
1553,935,12,2
1554,936,337,1
1555,937,712,1
1556,938,773,1
1557,939,200,1
1558,939,195,1
1559,940,277,2
1560,941,501,1
1561,942,510,1
1562,943,26,1
1563,943,651,5
1564,944,21,2
1565,944,157,1
1566,945,532,9
1567,946,667,1
1568,947,587,1
1569,948,576,2
1570,948,69,1
1571,949,160,1
1572,949,172,2
1573,950,263,1
1574,951,609,1
1575,951,538,2
1576,951,244,1
1577,952,571,2
1578,953,634,3
1579,954,611,1
1580,955,123,2
1581,956,279,2
1582,957,265,3
1583,958,74,1
1584,958,91,1
1585,958,244,1
1586,959,231,2
1587,960,665,5
1588,960,634,1
1589,961,509,1
1590,962,162,1
1591,962,271,1
1592,963,682,1
1593,964,687,1
1594,965,579,2
1595,965,166,2
1596,965,172,1
1597,965,653,2
1598,965,785,1
1599,965,669,1
1600,965,446,1
1601,966,480,1
1602,966,75,3
1603,967,299,2
1604,968,618,1
1605,969,674,1
1606,969,291,2
1607,969,606,1
1608,970,550,1
1609,971,673,3
1610,972,164,1
1611,973,125,1
1612,973,303,1
1613,974,104,1
1614,974,794,1
1615,974,741,2
1616,975,88,3
1617,976,776,6
1618,976,521,1
1619,976,677,1
1620,977,642,1
1621,978,276,2
1622,979,411,1
1623,979,181,3
1624,979,295,3
1625,980,41,1
1626,981,736,1
1627,981,577,1
1628,982,592,1
1629,983,32,1
1630,983,544,1
1631,983,563,1
1632,983,333,1
1633,983,575,1
1634,984,562,1
1635,985,594,1
1636,986,322,1
1637,986,197,1
1638,986,405,1
1639,987,168,4
1640,987,291,1
1641,987,572,1
1642,987,419,1
1643,987,646,1
1644,988,795,2
1645,989,56,2
1646,989,490,1
1647,990,627,1
1648,991,55,2
1649,992,141,2
1650,993,20,4
1651,993,323,1
1652,993,252,1
1653,993,167,1
1654,993,25,1
1655,994,240,2
1656,994,150,1
1657,994,455,1
1658,995,784,1
1659,995,264,3
1660,995,268,1
1661,995,605,1
1662,995,414,1
1663,996,69,1
